name,link,link_name,name_mascot,mascot
Air Force,/cfb/schools/air-force/2017.html,air-force,Air Force Falcons,Falcons
Akron,/cfb/schools/akron/2017.html,akron,Akron Zips,Zips
Alabama,/cfb/schools/alabama/2017.html,alabama,Alabama Crimson Tide,Crimson Tide
Appalachian State,/cfb/schools/appalachian-state/2017.html,appalachian-state,Appalachian State Mountaineers,Mountaineers
Arizona State,/cfb/schools/arizona-state/2017.html,arizona-state,Arizona State Sun Devils,Sun Devils
Arizona,/cfb/schools/arizona/2017.html,arizona,Arizona Wildcats,Wildcats
Arkansas State,/cfb/schools/arkansas-state/2017.html,arkansas-state,Arkansas State Red Wolves,Red Wolves
Arkansas,/cfb/schools/arkansas/2017.html,arkansas,Arkansas Razorbacks,Razorbacks
Army,/cfb/schools/army/2017.html,army,Army Black Knights,Black Knights
Auburn,/cfb/schools/auburn/2017.html,auburn,Auburn Tigers,Tigers
Ball State,/cfb/schools/ball-state/2017.html,ball-state,Ball State Cardinals,Cardinals
Baylor,/cfb/schools/baylor/2017.html,baylor,Baylor Bears,Bears
Boise State,/cfb/schools/boise-state/2017.html,boise-state,Boise State Broncos,Broncos
Boston College,/cfb/schools/boston-college/2017.html,boston-college,Boston College Eagles,Eagles
Bowling Green State,/cfb/schools/bowling-green-state/2017.html,bowling-green-state,Bowling Green State Falcons,Falcons
Brigham Young,/cfb/schools/brigham-young/2017.html,brigham-young,Brigham Young Cougars,Cougars
Buffalo,/cfb/schools/buffalo/2017.html,buffalo,Buffalo Bulls,Bulls
California,/cfb/schools/california/2017.html,california,California Golden Bears,Golden Bears
Central Michigan,/cfb/schools/central-michigan/2017.html,central-michigan,Central Michigan Chippewas,Chippewas
Charlotte,/cfb/schools/charlotte/2017.html,charlotte,Charlotte 49ers,49ers
Cincinnati,/cfb/schools/cincinnati/2017.html,cincinnati,Cincinnati Bearcats,Bearcats
Clemson,/cfb/schools/clemson/2017.html,clemson,Clemson Tigers,Tigers
Coastal Carolina,/cfb/schools/coastal-carolina/2017.html,coastal-carolina,Coastal Carolina Chanticleers,Chanticleers
Colorado State,/cfb/schools/colorado-state/2017.html,colorado-state,Colorado State Rams,Rams
Colorado,/cfb/schools/colorado/2017.html,colorado,Colorado Buffaloes,Buffaloes
Connecticut,/cfb/schools/connecticut/2017.html,connecticut,Connecticut Huskies,Huskies
Duke,/cfb/schools/duke/2017.html,duke,Duke Blue Devils,Blue Devils
East Carolina,/cfb/schools/east-carolina/2017.html,east-carolina,East Carolina Pirates,Pirates
Eastern Michigan,/cfb/schools/eastern-michigan/2017.html,eastern-michigan,Eastern Michigan Eagles,Eagles
Florida Atlantic,/cfb/schools/florida-atlantic/2017.html,florida-atlantic,Florida Atlantic Owls,Owls
Florida International,/cfb/schools/florida-international/2017.html,florida-international,Florida International Golden Panthers,Golden Panthers
Florida State,/cfb/schools/florida-state/2017.html,florida-state,Florida State Seminoles,Seminoles
Florida,/cfb/schools/florida/2017.html,florida,Florida Gators,Gators
Fresno State,/cfb/schools/fresno-state/2017.html,fresno-state,Fresno State Bulldogs,Bulldogs
Georgia Southern,/cfb/schools/georgia-southern/2017.html,georgia-southern,Georgia Southern Eagles,Eagles
Georgia State,/cfb/schools/georgia-state/2017.html,georgia-state,Georgia State Panthers,Panthers
Georgia Tech,/cfb/schools/georgia-tech/2017.html,georgia-tech,Georgia Tech Yellow Jackets,Yellow Jackets
Georgia,/cfb/schools/georgia/2017.html,georgia,Georgia Bulldogs,Bulldogs
Hawaii,/cfb/schools/hawaii/2017.html,hawaii,Hawaii Warriors,Warriors
Houston,/cfb/schools/houston/2017.html,houston,Houston Cougars,Cougars
Idaho,/cfb/schools/idaho/2017.html,idaho,Idaho Vandals,Vandals
Illinois,/cfb/schools/illinois/2017.html,illinois,Illinois Fighting Illini,Fighting Illini
Indiana,/cfb/schools/indiana/2017.html,indiana,Indiana Hoosiers,Hoosiers
Iowa State,/cfb/schools/iowa-state/2017.html,iowa-state,Iowa State Cyclones,Cyclones
Iowa,/cfb/schools/iowa/2017.html,iowa,Iowa Hawkeyes,Hawkeyes
Kansas State,/cfb/schools/kansas-state/2017.html,kansas-state,Kansas State Wildcats,Wildcats
Kansas,/cfb/schools/kansas/2017.html,kansas,Kansas Jayhawks,Jayhawks
Kent State,/cfb/schools/kent-state/2017.html,kent-state,Kent State Golden Flashes,Golden Flashes
Kentucky,/cfb/schools/kentucky/2017.html,kentucky,Kentucky Wildcats,Wildcats
LSU,/cfb/schools/louisiana-state/2017.html,louisiana-state,LSU Fighting Tigers,Fighting Tigers
Louisiana Tech,/cfb/schools/louisiana-tech/2017.html,louisiana-tech,Louisiana Tech Bulldogs,Bulldogs
Louisiana,/cfb/schools/louisiana-lafayette/2017.html,louisiana-lafayette,Louisiana Ragin' Cajuns,Ragin' Cajuns
Louisiana-Monroe,/cfb/schools/louisiana-monroe/2017.html,louisiana-monroe,Louisiana-Monroe Warhawks,Warhawks
Louisville,/cfb/schools/louisville/2017.html,louisville,Louisville Cardinals,Cardinals
Marshall,/cfb/schools/marshall/2017.html,marshall,Marshall Thundering Herd,Thundering Herd
Maryland,/cfb/schools/maryland/2017.html,maryland,Maryland Terrapins,Terrapins
Massachusetts,/cfb/schools/massachusetts/2017.html,massachusetts,Massachusetts Minutemen,Minutemen
Memphis,/cfb/schools/memphis/2017.html,memphis,Memphis Tigers,Tigers
Miami (FL),/cfb/schools/miami-fl/2017.html,miami-fl,Miami (FL) Hurricanes,Hurricanes
Miami (OH),/cfb/schools/miami-oh/2017.html,miami-oh,Miami (OH) RedHawks,RedHawks
Michigan State,/cfb/schools/michigan-state/2017.html,michigan-state,Michigan State Spartans,Spartans
Michigan,/cfb/schools/michigan/2017.html,michigan,Michigan Wolverines,Wolverines
Middle Tennessee State,/cfb/schools/middle-tennessee-state/2017.html,middle-tennessee-state,Middle Tennessee State Blue Raiders,Blue Raiders
Minnesota,/cfb/schools/minnesota/2017.html,minnesota,Minnesota Golden Gophers,Golden Gophers
Mississippi State,/cfb/schools/mississippi-state/2017.html,mississippi-state,Mississippi State Bulldogs,Bulldogs
