reference source (sportsref) school_name,ncaa,espn,247,rivals
Air Force,Air Force,Air Force,Air Force,
Akron,Akron,Akron,Akron,
Alabama,Alabama,Alabama,Alabama,Alabama
Appalachian State,Appalachian St.,Appalachian St,Appalachian State,Appalachian State
Arizona State,Arizona St.,Arizona State,Arizona State,Arizona State
Arizona,Arizona,Arizona,Arizona,Arizona
Arkansas,Arkansas,Arkansas,Arkansas,Arkansas
Arkansas State,Arkansas St.,Arkansas State,Arkansas State,Arkansas State
Army,Army West Point,Army,Army West Point,Army
Auburn,Auburn,Auburn,Auburn,Auburn
Ball State,Ball St.,Ball State,Ball State,
Baylor,Baylor,Baylor,Baylor,Baylor
Boise State,Boise St.,Boise State,Boise State,Boise State
Boston College,Boston College,Boston College,Boston College,Boston College
Bowling Green State,Bowling Green,Bowling Green,Bowling Green,
Brigham Young,,,Brigham Young,
Buffalo,Buffalo,Buffalo,Buffalo,
California,California,Cal,California,California
Central Michigan,Central Mich.,Cent Michigan,Central Michigan,Central Michigan
Charlotte,Charlotte,Charlotte,Charlotte,Charlotte
Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati
Clemson,Clemson,Clemson,Clemson,Clemson
Coastal Carolina,Coastal Caro.,C. Carolina,Coastal Carolina,
Colorado,Colorado,Colorado,Colorado,Colorado
Colorado State,Colorado St.,Colorado State,Colorado State,Colorado State
Connecticut,,,Connecticut,Connecticut
Duke,Duke,Duke,Duke,Duke
East Carolina,East Carolina,East Carolina,East Carolina,East Carolina
Eastern Michigan,Eastern Mich.,E Michigan,Eastern Michigan,
Florida Atlantic,Fla. Atlantic,FAU,Florida Atlantic,Florida Atlantic
Florida,Florida,Florida,Florida,Florida
Florida International,,FIU,Florida International,
Florida State,Florida St.,Florida State,Florida State,Florida State
Fresno State,Fresno St.,Fresno State,Fresno State,Fresno State
Georgia,Georgia,Georgia,Georgia,Georgia
Georgia Southern,Ga. Southern,Ga Southern,Georgia Southern,
Georgia State,Georgia St.,Georgia State,Georgia State,
Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech
Hawaii,,,,
Houston,Houston,Houston,Houston,Houston
Idaho,Idaho,,Idaho,
Illinois,Illinois,Illinois,Illinois,Illinois
Indiana,Indiana,Indiana,Indiana,Indiana
Iowa,Iowa,Iowa,Iowa,Iowa
Iowa State,Iowa St.,Iowa State,Iowa State,Iowa State
Kansas,Kansas,Kansas,Kansas,Kansas
Kansas State,Kansas St.,Kansas State,Kansas State,Kansas State
Kent State,Kent St.,Kent State,Kent State,Kent State
Kentucky,Kentucky,Kentucky,Kentucky,Kentucky
LSU,LSU,,,LSU
